SERIALNO,ST,PUMA,WGTP,Sm_Lo,Sm_Md,Sm_Hi,Lg_Lo,Lg_Md,Lg_Hi,Mil_Sm,Mil_Lg,ColDorm,Pers,IncK,Weight,hh
2014000029708,6,7320,69,0,0,0,0,1,0,0,0,0,4,138,69,1
2014000029853,6,7318,24,0,0,0,0,1,0,0,0,0,3,27,24,1
2014000029949,6,7321,11,0,0,0,0,1,0,0,0,0,3,32,11,1
2014000030148,6,7312,11,0,0,1,0,0,0,0,0,0,2,183,11,1
2014000030326,6,7310,9,0,0,1,0,0,0,0,0,0,2,252,9,1
2014000030356,6,7316,18,1,0,0,0,0,0,0,0,0,1,23,18,1
2014000030410,6,7313,10,0,1,0,0,0,0,0,0,0,2,55,10,1
2014000030443,6,7312,41,0,1,0,0,0,0,0,0,0,1,125,41,1
2014000030583,6,7313,24,0,1,0,0,0,0,0,0,0,2,71,24,1
2014000030635,6,7313,36,0,0,0,0,1,0,0,0,0,4,35,36,1
2014000030662,6,7301,22,0,1,0,0,0,0,0,0,0,2,98,22,1
2014000030699,6,7310,13,0,0,0,0,0,1,0,0,0,3,421,13,1
2014000030740,6,7321,10,0,0,0,0,0,1,0,0,0,8,262,10,1
2014000030818,6,7316,7,0,0,0,0,1,0,0,0,0,3,46,7,1
2014000030895,6,7322,16,1,0,0,0,0,0,0,0,0,1,17,16,1
2014000031174,6,7311,12,0,1,0,0,0,0,0,0,0,2,40,12,1
2014000031183,6,7322,9,0,0,0,0,1,0,0,0,0,4,96,9,1
2014000031184,6,7322,12,0,1,0,0,0,0,0,0,0,2,66,12,1
2014000031196,6,7306,7,0,0,0,0,1,0,0,0,0,4,49,7,1
2014000031203,6,7313,23,1,0,0,0,0,0,0,0,0,1,23,23,1
2014000031282,6,7304,13,0,1,0,0,0,0,0,0,0,1,112,13,1
2014000031355,6,7317,24,0,0,0,0,1,0,0,0,0,6,36,24,1
2014000031444,6,7313,18,0,0,0,0,1,0,0,0,0,4,74,18,1
2014000031520,6,7313,25,0,1,0,0,0,0,0,0,0,1,31,25,1
2014000031632,6,7312,15,0,1,0,0,0,0,0,0,0,1,37,15,1
2014000031898,6,7311,13,0,0,0,0,1,0,0,0,0,5,70,13,1
2014000032070,6,7310,15,0,1,0,0,0,0,0,0,0,1,49,15,1
2014000032528,6,7302,14,0,1,0,0,0,0,0,0,0,2,51,14,1
2014000032585,6,7322,31,0,0,0,1,0,0,0,0,0,3,10,31,1
2014000032674,6,7308,16,0,1,0,0,0,0,0,0,0,2,107,16,1
2014000032719,6,7302,4,0,0,0,0,1,0,0,0,0,3,69,4,1
2014000032837,6,7319,11,0,1,0,0,0,0,0,0,0,2,55,11,1
2014000032874,6,7310,13,0,0,0,0,0,0,0,1,0,3,107,13,1
2014000032957,6,7311,61,0,0,0,0,1,0,0,0,0,4,125,61,1
2014000032992,6,7312,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000032996,6,7308,14,0,0,1,0,0,0,0,0,0,2,203,14,1
2014000033364,6,7308,17,0,0,0,0,1,0,0,0,0,3,73,17,1
2014000033369,6,7311,13,0,0,0,0,1,0,0,0,0,3,80,13,1
2014000033556,6,7307,46,0,1,0,0,0,0,0,0,0,1,75,46,1
2014000034324,6,7310,15,0,0,0,0,1,0,0,0,0,3,102,15,1
2014000034454,6,7306,12,0,0,0,0,1,0,0,0,0,3,77,12,1
2014000035042,6,7320,12,0,1,0,0,0,0,0,0,0,2,80,12,1
2014000035043,6,7322,13,0,0,0,1,0,0,0,0,0,3,17,13,1
2014000035172,6,7303,68,0,0,0,0,1,0,0,0,0,5,86,68,1
2014000035376,6,7316,21,0,1,0,0,0,0,0,0,0,2,62,21,1
2014000035517,6,7310,11,0,0,0,0,0,0,0,1,0,4,39,11,1
2014000035520,6,7302,17,0,1,0,0,0,0,0,0,0,1,54,17,1
2014000035544,6,7314,12,0,1,0,0,0,0,0,0,0,1,64,12,1
2014000035580,6,7310,11,0,0,1,0,0,0,0,0,0,2,171,11,1
2014000035614,6,7316,12,0,0,0,0,1,0,0,0,0,4,132,12,1
2014000035757,6,7315,22,0,1,0,0,0,0,0,0,0,2,66,22,1
2014000035773,6,7307,7,0,0,0,1,0,0,0,0,0,3,15,7,1
2014000035822,6,7314,36,0,1,0,0,0,0,0,0,0,2,74,36,1
2014000035867,6,7312,13,0,0,0,0,1,0,0,0,0,3,91,13,1
2014000035895,6,7317,19,0,0,0,1,0,0,0,0,0,4,24,19,1
2014000035896,6,7312,15,0,1,0,0,0,0,0,0,0,2,67,15,1
2014000035903,6,7309,13,0,0,1,0,0,0,0,0,0,2,154,13,1
2014000035914,6,7317,26,0,0,0,0,1,0,0,0,0,3,61,26,1
2014000036033,6,7304,26,0,0,0,0,0,0,1,0,0,1,106,26,1
2014000036369,6,7311,27,0,1,0,0,0,0,0,0,0,2,132,27,1
2014000036412,6,7307,20,0,1,0,0,0,0,0,0,0,2,139,20,1
2014000036560,6,7303,21,0,0,0,0,1,0,0,0,0,5,49,21,1
2014000036617,6,7312,24,0,0,1,0,0,0,0,0,0,2,207,24,1
2014000036700,6,7316,49,1,0,0,0,0,0,0,0,0,1,5,49,1
2014000036871,6,7322,20,0,0,0,0,1,0,0,0,0,4,111,20,1
2014000036897,6,7312,13,0,1,0,0,0,0,0,0,0,1,59,13,1
2014000036898,6,7310,19,0,1,0,0,0,0,0,0,0,2,114,19,1
2014000036906,6,7301,12,0,0,0,0,1,0,0,0,0,4,142,12,1
2014000036940,6,7320,26,0,0,0,0,1,0,0,0,0,3,118,26,1
2014000036970,6,7310,11,0,1,0,0,0,0,0,0,0,2,88,11,1
2014000036986,6,7310,15,0,0,0,0,1,0,0,0,0,4,128,15,1
2014000036998,6,7316,13,0,1,0,0,0,0,0,0,0,2,40,13,1
2014000037144,6,7301,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000037256,6,7306,12,0,0,0,0,1,0,0,0,0,6,66,12,1
2014000037512,6,7313,18,0,0,0,0,1,0,0,0,0,4,135,18,1
2014000037645,6,7314,22,0,1,0,0,0,0,0,0,0,1,39,22,1
2014000037799,6,7315,0,0,0,0,0,0,0,0,0,1,1,0,20,1
2014000037834,6,7315,11,0,0,0,0,1,0,0,0,0,3,110,11,1
2014000038021,6,7317,0,0,0,0,0,0,0,0,0,1,1,0,20,1
2014000038083,6,7314,12,0,0,0,0,0,1,0,0,0,5,216,12,1
2014000038166,6,7320,14,0,0,0,0,1,0,0,0,0,3,65,14,1
2014000038284,6,7302,22,0,1,0,0,0,0,0,0,0,2,103,22,1
2014000038403,6,7310,14,1,0,0,0,0,0,0,0,0,1,13,14,1
2014000038419,6,7321,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000038506,6,7310,12,0,0,0,0,0,1,0,0,0,4,258,12,1
2014000038612,6,7306,8,0,1,0,0,0,0,0,0,0,2,48,8,1
2014000038646,6,7305,21,0,0,1,0,0,0,0,0,0,2,155,21,1
